RECNO	D	NEW	E	SOC	SOC2000	INDEXOCC	IND	ADD	SEE
1		*		103	2441	A	(Cabinet Office)		
2		*		103	2441	A	(Northern Ireland Office)		
3		*		400	4112	A1	(Benefits Agency)		
4		*		103	2441	A1	(Dept for International Development)		
5		*		400	4112	A1	(Office for National Statistics)		
6		*		400	4112	A1	(Scottish Office)		
7		*		400	4112	A2	(Benefits Agency)		
8		*		103	2441	A2	(Dept for International Development)		
9		*		400	4112	A2	(Office for National Statistics)		
10		*		400	4112	A2	(Scottish Office)		
11		*		400	4112	A3	(Benefits Agency)		
12		*		103	3561	A3	(Dept for International Development)		
13		*		400	4112	A3	(Office for National Statistics)		
14		*		400	4112	A3	(Scottish Office)		
15		*		400	4112	A4	(Benefits Agency)		
16		*		400	4112	A4	(Scottish Office)		
17		*		400	4112	A5	(Benefits Agency)		
18		*		400	4112	A6	(Benefits Agency)		
19		*		400	4112	A7	(Benefits Agency)		
20				400	4112	AA	(government)		
21				600	3311	AB	(armed forces)		
22				880	8217	AB	(shipping)		
23				250	2421	ACA			
24				127	1131	ACIS			
25				251	2422	ACWA			
26				100	1111	AM	(National Assembly)		
27				400	4112	AO	(government)		
28				401	4113	AP(T)	(local government:	grade 1,2,3)	
29				102	3561	AP(T)	(local government:	grade 4,5)	
30				893	8124	APA	(power station)		
31				250	2421	ASAA			
32				292	2444	Abbot			
33				421	4135	Abstractor		(press cuttings)	
34				385	3415	Accompanist			
35		*		250	2421	Accountant, bank			
36				410	4122	Accountant, barrack			
37				410	4122	Accountant, barracks			
38				250	2421	Accountant, borough			
39		*		250	2421	Accountant, branch			
40				250	2421	Accountant, certified			
41				250	2421	Accountant, chartered			
42		*		250	2421	Accountant, chief, group			
43	O	*		250	2421	Accountant, chief			
44				250	2421	Accountant, company			
45				251	2422	Accountant, cost		(qualified)	
46	Q			410	4122	Accountant, cost			
47				251	2422	Accountant, cost and management		(qualified)	
48		*		251	2422	Accountant, cost and works		(qualified)	
49	Q	*		410	4122	Accountant, cost and works			
50				250	2421	Accountant, district			
51				410	4122	Accountant, financial	(coal mine)		
52	I			250	2421	Accountant, financial			
53				410	4122	Accountant, group			
54				250	2421	Accountant, incorporated			
55				251	2422	Accountant, management		(qualified)	
56	Q	*		410	4122	Accountant, management			
57				250	2421	Accountant, principal			
58		*		362	3535	Accountant, tax			
59		*		362	3535	Accountant, taxation			
60				691	6211	Accountant, turf			
61				251	2422	Accountant, works		(qualified)	
62	Q			410	4122	Accountant, works			
63				251	2422	Accountant		(qualified, cost and works accountancy)	
64				251	2422	Accountant		(qualified, management accountancy)	
65	QS			250	2421	Accountant		(qualified)	
66				250	2421	Accountant	(government)		
67	M			410	4122	Accountant			
68				410	4122	Accountant and auditor			
69				240	2419	Accountant of Court		(Scotland)	
70				250	2421	Accountant-secretary	(coal mine)		
71				999	9131	Acetoner			
72				820	8114	Acidifier			
73				384	3413	Acrobat			
74				384	3413	Actor			
75				384	3413	Actor-manager			
76				252	2423	Actuary			
77				220	2211	Acupuncturist		(medically qualified)	
78	Q			346	3229	Acupuncturist			
79				350	3520	Adjudicator		(national insurance regulations)	
80		*		350	3520	Adjudicator	(Home Office)		
81		*		361	3531	Adjuster, average			
82				516	5223	Adjuster, brake			
83				361	3531	Adjuster, claims			
84				517	5224	Adjuster, compass			
85				860	8133	Adjuster, dial	(telephone mfr)		
86				569	8121	Adjuster, envelope			
87				899	8129	Adjuster, lift			
88				361	3531	Adjuster, loss			
89				569	8121	Adjuster, machine	(paper goods mfr)		
90				516	5223	Adjuster, machine	(textile mfr)		
91				529	5249	Adjuster, relay			
92				516	5223	Adjuster, spring, set			
93				540	5231	Adjuster, unit			
94				899	8129	Adjuster, weight			
95				517	5224	Adjuster		(instruments)	
96				540	5231	Adjuster		(motor vehicles)	
97				516	5223	Adjuster		(scales)	
98				860	8133	Adjuster		(telephones)	
99				517	5224	Adjuster		(watches, clocks)	
100				516	5223	Adjuster		(weighing machines)	
101				150	1171	Adjutant			
102				150	1171	Adjutant-General			
103				410	4122	Administrator, account			
104				410	4122	Administrator, accounts			
105				176	4150	Administrator, arts			
106		*		179	4122	Administrator, bonus			
107		*		430	4150	Administrator, business			
108		*		430	4150	Administrator, catering			
109				190	4114	Administrator, charity			
110		*		179	4150	Administrator, church			
111		*		420	4132	Administrator, claim	(insurance)		
112		*		430	4150	Administrator, clerical			
113		*		450	4211	Administrator, clinic			
114		*		430	4150	Administrator, commercial			
115		*		320	4136	Administrator, computer			
116		*		420	4131	Administrator, conference			
117				122	3541	Administrator, contracts, purchasing			
118				121	3543	Administrator, contracts, sales			
119		*		420	4122	Administrator, cost			
120				420	4131	Administrator, court			
121		*		420	4131	Administrator, courts			
122		*		190	4114	Administrator, covenant			
123				320	3131	Administrator, database			
124		*		441	4134	Administrator, distribution			
125		*		401	4113	Administrator, electoral			
126		*		420	4131	Administrator, export			
127		*		191	4114	Administrator, faculty			
128		*		410	4122	Administrator, finance			
129		*		410	4122	Administrator, financial			
130		*		140	4134	Administrator, fleet, car			
131	O	*		420	4134	Administrator, fleet			
132		*		410	4122	Administrator, holding, fund			
133				199	3561	Administrator, hospital			
134		*		250	2421	Administrator, insolvency		(qualified)	
135	Q	*		361	3537	Administrator, insolvency			
136		*		410	4132	Administrator, insurance			
137		*		320	3131	Administrator, internet			
138		*		441	4133	Administrator, inventory			
139				361	3532	Administrator, investment			
140		*		490	4136	Administrator, IT			
141		*		410	4122	Administrator, ledger			
142		*		451	4212	Administrator, legal			
143				430	4131	Administrator, letter	(PO)		
144		*		130	4121	Administrator, loans			
145		*		441	4133	Administrator, logistics			
146		*		121	3543	Administrator, marketing			
147		*		450	4211	Administrator, medical			
148				410	4132	Administrator, mortgage			
149		*		320	3131	Administrator, network			
150				139	4150	Administrator, office			
151		*		420	4131	Administrator, order, sales			
152		*		179	4150	Administrator, parish			
153		*		441	4133	Administrator, parts			
154		*		410	4122	Administrator, pay			
155		*		410	4122	Administrator, payroll			
156				139	4132	Administrator, pensions			
157		*		363	3562	Administrator, personnel			
158		*		420	4131	Administrator, practice			
159		*		440	4133	Administrator, production			
160		*		420	4122	Administrator, purchasing			
161		*		430	4150	Administrator, QA			
162		*		430	4150	Administrator, quality			
163		*		363	3562	Administrator, recruitment			
164		*		103	2441	Administrator, registration, senior	(Land Registry)		
165		*		363	3562	Administrator, resources, human			
166				121	3542	Administrator, sales			
167		*		420	4213	Administrator, school			
168		*		430	7212	Administrator, service, customer			
169	O	*		430	4150	Administrator, service			
170		*		420	4134	Administrator, services, fleet			
171		*		420	4134	Administrator, shipping			
172		*		440	4133	Administrator, stock			
173				141	4133	Administrator, stores			
174		*		420	4132	Administrator, surrenders	(insurance)		
175		*		361	3532	Administrator, swaps			
176		*		320	3131	Administrator, system			
177				320	3131	Administrator, systems			
178		*		391	3563	Administrator, training			
179				140	4134	Administrator, transport	(company transport)		
180				120	3537	Administrator, trust	(banking)		
181				191	2317	Administrator, university			
182		*		441	4133	Administrator, warehouse			
183				430	4150	Administrator, warranty			
184		*		400	4112	Administrator	(armed forces)		
185		*		190	4114	Administrator	(charitable organisation)		
186		*		400	4112	Administrator	(government)		
187		*		190	2317	Administrator	(higher education, university)		
188		*		199	3561	Administrator	(hospital service)		
189		*		420	4132	Administrator	(insurance)		
190		*		303	3121	Administrator	(local government: town planning)		
191	I	*		401	4113	Administrator	(local government)		
192		*		190	4114	Administrator	(trade union)		
193				150	1171	Admiral			
194				150	1171	Admiral of the Fleet			
195		*		123	3543	Advertiser			
196		*		301	3113	Adviser, aeronautical			
197				201	2112	Adviser, agricultural			
198				381	3416	Adviser, art			
199		*		384	3416	Adviser, arts			
200		*		399	3539	Adviser, ballot			
201		*		430	7211	Adviser, banking, telephone			
202				661	6222	Adviser, beauty			
203		*		401	4113	Adviser, benefit	(local government)		
204		*		400	4112	Adviser, benefits	(government)		
205		*		401	4113	Adviser, benefits	(local government)		
206	I	*		371	3232	Adviser, benefits			
207		*		411	4123	Adviser, branch	(bank, building society)		
208				364	2423	Adviser, business			
209		*		430	7212	Adviser, care, customer			
210				392	3564	Adviser, careers			
211				174	5434	Adviser, catering			
212				441	3539	Adviser, cellar	(catering)		
213		*		420	4132	Adviser, claim	(insurance)		
214		*		132	4111	Adviser, claimant			
215		*		400	4112	Adviser, claims	(government)		
216		*		430	7211	Adviser, communications	(telecommunications)		
217		*		201	3551	Adviser, conservation			
218		*		710	7212	Adviser, consumer	(retail trade)		
219	I	*		394	3565	Adviser, consumer			
220		*		364	3539	Adviser, contract			
221		*		201	3551	Adviser, countryside			
222				411	4123	Adviser, customer	(bank, building society)		
223		*		720	7111	Adviser, customer	(retail trade)		
224	I	*		430	7212	Adviser, customer			
225		*		391	3563	Adviser, development, employee			
226		*		253	2423	Adviser, development, management			
227		*		391	3563	Adviser, development, training			
228		*		347	3229	Adviser, diet			
229				252	2423	Adviser, economic			
230				232	2313	Adviser, education			
231				132	4111	Adviser, employment	(government)		
232	I	*		363	3562	Adviser, employment			
233				383	3422	Adviser, fashion			
234				250	3534	Adviser, financial			
235		*		202	2113	Adviser, geological			
236		*		371	3232	Adviser, health			
237		*		396	3567	Adviser, health and safety			
238				219	2129	Adviser, heating		(professional)	
239	Q			532	5314	Adviser, heating			
240				201	2112	Adviser, horticultural			
241				371	3232	Adviser, housing			
242				361	4132	Adviser, insurance			
243				361	3534	Adviser, investment			
244				242	2419	Adviser, legal			
245		*		430	7211	Adviser, lines, personal			
246				380	3412	Adviser, literary			
247		*		361	3534	Adviser, loans, financial			
248				253	2423	Adviser, management			
249				399	3539	Adviser, marine			
250				220	2211	Adviser, medical			
251		*		719	7129	Adviser, membership			
252	I			411	3534	Adviser, mortgage			
253		*		340	3211	Adviser, nurse			
254		*		720	7111	Adviser, optical			
255		*		720	7111	Adviser, parts	(retail trade)		
256				252	3534	Adviser, pension			
257		*		363	3562	Adviser, personnel			
258		*		430	7211	Adviser, phonebank			
259				261	2432	Adviser, planning, county			
260		*		361	3534	Adviser, planning, financial			
261		*		363	3562	Adviser, policy, equalities			
262		*		399	3539	Adviser, political			
263				201	2112	Adviser, poultry			
264		*		123	3433	Adviser, PR			
265				611	3313	Adviser, prevention, fire			
266				217	2127	Adviser, production			
267				371	3232	Adviser, promotion, health			
268		*		363	3562	Adviser, recruitment			
269		*		430	7212	Adviser, relations, customer			
270				363	3562	Adviser, relations, industrial			
271		*		123	3433	Adviser, relations, public			
272		*		371	3231	Adviser, relations, race			
273		*		363	3562	Adviser, resources, human			
274		*		371	3232	Adviser, rights, welfare			
275				396	3567	Adviser, safety			
276		*		792	7113	Adviser, sales		(telephone sales)	
277	A			720	7111	Adviser, sales			
278		*		209	2321	Adviser, scientific			
279		*		132	4111	Adviser, security, social			
280	O			615	9241	Adviser, security			
281				719	3542	Adviser, service, home	(gas supplier)		
282				540	4216	Adviser, service	(garage)		
283	M			719	7212	Adviser, service			
284		*		719	7212	Adviser, services, customer			
285		*		361	3534	Adviser, services, financial			
286				253	2423	Adviser, services, management			
287		*		371	3232	Adviser, services, student			
288				252	2423	Adviser, statistical			
289				320	2131	Adviser, systems			
290				362	3535	Adviser, taxation			
291				250	2421	Adviser, technical		(accountancy)	
292		*		361	3534	Adviser, technical	(insurance)		
293	M			301	3113	Adviser, technical			
294		*		430	7211	Adviser, telebanking			
295		*		430	7211	Adviser, telephone			
296				219	2129	Adviser, textile			
297		*		396	3567	Adviser, toxicology			
298				399	3539	Adviser, traffic			
299				124	3563	Adviser, training			
300				399	3539	Adviser, transport			
301		*		177	6212	Adviser, travel			
302		*		362	3535	Adviser, VAT			
303				371	3232	Adviser, welfare			
304				201	2112	Adviser		(agricultural)	
305				242	2419	Adviser		(law)	
306				121	3543	Adviser		(marketing)	
307				371	3232	Adviser	(Citizens Advice Bureau)		
308				232	2313	Adviser	(education)		
309		*		132	4111	Adviser	(Job Centre)		
310				}}}	}}}}	Advisor			- see Adviser
311				241	2411	Advocate			
312				384	3413	Aerialist			
313				202	2113	Aerodynamicist			
314				591	5491	Aerographer	(ceramics mfr)		
315	I			596	5491	Aerographer			
316				719	3542	Agent, agricultural			
317				719	7121	Agent, assurance			
318				719	7129	Agent, bank			
319				179	3539	Agent, bloodstock			
320		*		630	6212	Agent, booking	(travel agents)		
321				719	7129	Agent, brewer's			
322				719	7129	Agent, brewery			
323				111	1122	Agent, builder's			
324				719	3542	Agent, business			
325				701	3541	Agent, buying			
326				420	4134	Agent, cargo	(airport)		
327				720	7111	Agent, cleaner's, dry			
328				730	7121	Agent, club			
329				412	7122	Agent, collecting			
330				113	1123	Agent, colliery			
331				179	3539	Agent, commercial			
332				179	3539	Agent, commission		(farm produce)	
333				710	3542	Agent, commission		(manufactured goods)	
334				703	3539	Agent, commission		(raw materials)	
335				703	3542	Agent, commission	(commission agents)		
336				719	7129	Agent, commission	(insurance)		
337				710	3542	Agent, commission	(manufacturing)		
338				691	6211	Agent, commission	(turf accountants)		
339				179	3539	Agent, commission	(wholesale, retail trade)		
340				719	7129	Agent, company's, tug			
341				384	3416	Agent, concert			
342				111	1122	Agent, contractor's			
343				730	7121	Agent, credit			
344			S	421	4135	Agent, cutting, press			
345				941	9211	Agent, delivery			
346				719	7121	Agent, district	(insurance)		
347				720	7111	Agent, dyer's			
348				190	3539	Agent, election			
349				719	7129	Agent, emigration			
350				710	3542	Agent, engineer's			
351				111	1122	Agent, engineering, civil			
352				615	9241	Agent, enquiry			
353				384	3416	Agent, entertainment			
354				170	3544	Agent, estate			
355				702	3536	Agent, export			
356				160	5111	Agent, farm			
357				384	3416	Agent, film			
358				361	3534	Agent, financial			
359				719	7129	Agent, foreign			
360				719	7129	Agent, forwarding			
361				719	7129	Agent, general			
362		*		630	6214	Agent, handling, passenger			
363				719	7129	Agent, hiring, film			
364				170	3544	Agent, house			
365		*		702	3536	Agent, import			
366		*		702	3536	Agent, import-export			
367				719	7121	Agent, insurance			
368				170	3544	Agent, land			
369				170	3544	Agent, land and estate			
370				720	7111	Agent, laundry			
371				242	2419	Agent, law			
372		*		121	3543	Agent, leasing		(car hire)	
373				170	3544	Agent, letting			
374				380	3412	Agent, literary			
375				719	3532	Agent, Lloyd's			
376				710	3542	Agent, manufacturer's			
377		*		121	3543	Agent, marketing			
378				719	7129	Agent, mercantile			
379				703	3532	Agent, metal			
380				113	1123	Agent, mine			
381				384	3416	Agent, model			
382				384	3416	Agent, model's			
383				361	3534	Agent, money			
384				361	3534	Agent, mortgage			
385				719	7129	Agent, naturalisation			
386				179	1234	Agent, news			
387				179	1234	Agent, newspaper			
388		*		420	4134	Agent, operations, cargo			
389				241	3539	Agent, parliamentary			
390				190	3539	Agent, party	(political party)		
391		*		630	6214	Agent, passenger			
392				719	7129	Agent, passport			
393				219	2129	Agent, patent			
394				190	3539	Agent, political			
395				412	7122	Agent, pools, football			
396				350	3520	Agent, precognition			
397				380	3431	Agent, press			
398				170	3544	Agent, property			
399				123	3433	Agent, publicity			
400				710	3542	Agent, publisher's			
401				701	3541	Agent, purchasing			
402				719	7129	Agent, railway			
403				931	8218	Agent, ramp			
404				720	7111	Agent, receiving, laundry			
405				170	3544	Agent, relocation			
406		*		630	6214	Agent, reservation, airline			
407	O	*		177	6212	Agent, reservation			
408		*		430	7212	Agent, reservations	(hotel)		
409	I	*		177	6212	Agent, reservations			
410		*		792	7113	Agent, sales, telephone			
411	O			710	3542	Agent, sales			
412		*		615	9241	Agent, security			
413				630	6214	Agent, service, customer		(travel)	
414				630	6214	Agent, service, passenger			
415		*		931	8218	Agent, service, ramp			
416		*		630	6214	Agent, service	(airlines)		
417				630	6214	Agent, services, customer		(travel)	
418	A	*		430	7212	Agent, services, customer			
419				630	6214	Agent, services, passenger			
420		*		702	3536	Agent, ship's			
421				140	3536	Agent, shipping			
422				170	3544	Agent, site		(agricultural estate)	
423	A			111	1122	Agent, site			
424				384	3442	Agent, sports			
425				113	1123	Agent, surface			
426				710	3542	Agent, textile			
427				384	3416	Agent, theatrical			
428				177	6212	Agent, tourist			
429				399	3539	Agent, trademark			
430				719	7129	Agent, traffic	(canals)		
431				124	3563	Agent, training			
432				170	3544	Agent, transfer, business			
433		*		177	6212	Agent, travel, business			
434	O			177	6212	Agent, travel			
435				719	3533	Agent, underwriter's			
436				384	3416	Agent, variety			
437		*		719	7129	Agent, viewing			
438				123	3543	Agent		(advertising)	
439				170	3544	Agent		(agricultural estate)	
440				719	7121	Agent		(assurance)	
441				719	7121	Agent		(insurance)	
442				710	3542	Agent		(manufacturer's)	
443				177	6212	Agent		(travel)	
444				111	1122	Agent	(building and contracting)		
445				730	7121	Agent	(mail order house)		
446				710	3542	Agent	(manufacturing)		
447				113	1123	Agent	(mining)		
448				730	7121	Agent	(wholesale, retail trade: credit trade)		
449				730	7121	Agent	(wholesale, retail trade: door-to-door sales)		
450				730	7129	Agent	(wholesale, retail trade: party plan sales)		
451	I			179	3542	Agent	(wholesale, retail trade)		
452				719	7121	Agent and collector	(insurance)		
453				170	3544	Agent and valuer, land			
454				412	7122	Agent-collector			
455				160	5111	Agriculturist			
456		*		201	2112	Agroclimatologist			
457				201	2112	Agronomist			
458				201	2112	Agrostologist			
459				644	6115	Aid, care			
460				293	2442	Aid, family			
461		*		644	6115	Aid, home			
462				864	8138	Aid, laboratory			
463				641	6111	Aid, nurse's			
464				652	6124	Aid, teacher's			
465				652	6124	Aid, teaching			
466				641	6111	Aid	(hospital service)		
467				644	6115	Aide, care			
468		*		390	3433	Aide, communications			
469				293	2442	Aide, family			
470		*		644	6115	Aide, home			
471				864	8138	Aide, laboratory			
472				641	6111	Aide, nurse's			
473				652	6124	Aide, teacher's			
474				652	6124	Aide, teaching			
475				641	6111	Aide	(hospital service)		
476				150	1171	Aide-de-Camp			
477				150	1171	Air-Marshal			
478				600	3311	Aircraftman			
479				600	3311	Aircraftwoman			
480				600	3311	Aircrew, master	(armed forces)		
481				830	8117	Airman, hot			
482				600	3311	Airman	(armed forces)		
483				898	8123	Airwayman	(mine: not coal)		
484				850	8131	Aligner		(radio, television)	
485				516	5223	Aligner		(typewriters)	
486				430	4150	Allocator, chalet			
487				884	8216	Allocator, traffic			
488	O			420	4131	Allocator			
489				830	8117	Alloyman		(copper)	
490				293	2442	Almoner			
491				814	8113	Alterer, loom			
492				814	8113	Alterer, pattern	(carpet, rug mfr)		
493				814	8113	Alterer	(textile mfr)		
494				100	1111	Ambassador	(Foreign and Commonwealth Office)		
495				642	6112	Ambulanceman			
496		*		220	2211	Anaesthetist, consultant			
497	O			220	2211	Anaesthetist			
498				300	3111	Analyser			
499				253	2423	Analyst, business			
500				200	2111	Analyst, chief			
501		*		661	6222	Analyst, colour			
502				320	2132	Analyst, computer			
503				420	4131	Analyst, cost			
504				200	2111	Analyst, county			
505		*		361	3534	Analyst, credit			
506		*		214	2132	Analyst, data		(computing)	
507	A	*		364	3539	Analyst, data			
508		*		214	2132	Analyst, database			
509				252	2423	Analyst, economic			
510		*		363	3562	Analyst, evaluation, job			
511				361	3534	Analyst, financial			
512				300	3111	Analyst, geophysical			
513		*		214	2132	Analyst, implementation			
514		*		214	2132	Analyst, information		(computing)	
515	A	*		399	2329	Analyst, information			
516		*		390	2329	Analyst, intelligence, criminal			
517				361	3534	Analyst, investment			
518				300	3111	Analyst, laboratory			
519		*		364	3539	Analyst, management			
520		*		364	3543	Analyst, marketing			
521		*		309	3111	Analyst, material			
522		*		309	3111	Analyst, materials			
523		*		121	3543	Analyst, media			
524				364	3539	Analyst, methods			
525				364	2132	Analyst, network			
526				364	3539	Analyst, o and m			
527				320	2132	Analyst, operations		(computing)	
528				364	3539	Analyst, organisation and methods			
529				364	3539	Analyst, performance			
530				124	3562	Analyst, personnel			
531		*		361	3534	Analyst, pricing			
532				200	2111	Analyst, public			
533				420	4131	Analyst, purchase			
534				121	3543	Analyst, research, market			
535				364	3539	Analyst, research, operational			
536		*		361	2423	Analyst, risk			
537		*		361	3531	Analyst, scoring, credit			
538				320	2132	Analyst, software			
539				252	2423	Analyst, statistical			
540				310	3122	Analyst, stress	(construction, engineering)		
541				364	3539	Analyst, study, work			
542		*		121	3543	Analyst, support, sales			
543		*		214	2132	Analyst, support		(computing)	
544		*		364	3539	Analyst, system, business			
545	O	*		320	2132	Analyst, system			
546		*		364	3539	Analyst, systems, business			
547				364	3539	Analyst, systems, office			
548	O			320	2132	Analyst, systems			
549		*		399	3539	Analyst, tachograph			
550		*		320	3131	Analyst, technical		(computing)	
551		*		364	3539	Analyst, time and motion			
552				310	3122	Analyst, tool			
553				364	3539	Analyst, value			
554				121	3543	Analyst		(market research)	
555				320	2132	Analyst		(programming)	
556				364	3539	Analyst		(work study)	
557		*		361	3534	Analyst	(financial services)		
558				320	2132	Analyst-programmer			
559				201	2112	Anatomist			
560				839	8117	Anchorer			
561		*		652	6124	Ancillary, classroom			
562		*		293	3232	Ancillary, service, probation			
563		*		652	6124	Ancillary	(education)		
564				381	3411	Animator		(cartoon films)	
565				823	8112	Annealer, pot			
566				823	8112	Annealer		(ceramics)	
567				820	8114	Annealer		(chemicals)	
568				823	8112	Annealer		(glass)	
569	M			833	8117	Annealer			
570		*		384	3432	Announcer	(broadcasting)		
571				384	3413	Announcer	(entertainment)		
572				463	4142	Announcer	(transport)		
573				834	8118	Anodiser			
574				291	2322	Anthropologist			
575				291	2322	Antiquary			
576				902	5119	Apiarist			
577		*		347	3229	Apothecary			
578		*		859	8139	Applicator, film			
579				929	9129	Applicator, mastic			
580				399	3539	Appraiser			
581				360	3531	Appraiser and valuer			
582				430	4150	Apprentice, commercial			
583	O			}}}	}}}}	Apprentice			- see also notes
584		*		902	6139	Aquarist			
585				361	3532	Arbitragist			
586				360	3531	Arbitrator	(valuing)		
587				904	9112	Arboriculturist			
588				904	9112	Arborist			
589				291	2322	Archaeologist			
590				292	2444	Archbishop			
591				292	2444	Archdeacon			
592				500	5312	Archer, brick			
593				260	2431	Architect, chartered			
594		*		214	2131	Architect, data			
595				260	2431	Architect, landscape			
596				211	2122	Architect, naval			
597		*		214	2131	Architect, software			
598		*		214	2132	Architect, systems		(computing)	
599		*		214	2131	Architect, technical, migration		(software)	
600	O			260	2431	Architect			
601				271	2452	Archivist			
602				500	5312	Archman		(brick)	
603				590	5491	Archman		(glass)	
604				899	8129	Armourer, cable			
605				899	8129	Armourer, hose			
606	O			516	5223	Armourer			
607				347	3229	Aromatherapist			
608				384	3416	Arranger, fight			
609				791	5496	Arranger, floral			
610				791	5496	Arranger, flower			
611		*		690	6291	Arranger, funeral			
612		*		411	3534	Arranger, mortgage			
613				385	3415	Arranger, music			
614				507	5323	Artexer			
615				517	5224	Artificer, instrument			
616		*		600	3311	Artificer, marine			
617				600	3311	Artificer, naval			
618	O			516	5223	Artificer			
619				382	3422	Artist, boot and shoe			
620				591	5491	Artist, ceramic			
621				381	3421	Artist, commercial			
622		*		381	3421	Artist, computer			
623				381	7125	Artist, display			
624				381	3411	Artist, fashion			
625				384	3413	Artist, film			
626				791	5496	Artist, floral			
627				381	3421	Artist, graphic			
628				381	3421	Artist, layout			
629				381	3421	Artist, lettering			
630				430	3421	Artist, litho			
631				430	3421	Artist, lithographic			
632		*		381	3421	Artist, Mac			
633				661	6222	Artist, make-up		(films)	
634				381	3411	Artist, medical	(hospital service)		
635				560	5421	Artist, paste-up			
636				386	3434	Artist, photographic			
637				591	5491	Artist, pottery			
638				381	3411	Artist, press			
639				381	3411	Artist, scenic			
640				382	3422	Artist, shoe			
641				381	3421	Artist, technical			
642				591	5491	Artist	(ceramics decorating)		
643				384	3413	Artist	(entertainment)		
644				591	5491	Artist	(glass decorating)		
645				507	5499	Artist	(mask mfr)		
646	M			381	3411	Artist			
647				381	3411	Artist and designer, fashion			
648				384	3413	Artiste			
649				506	8149	Asphalter, mastic			
650	O			923	8142	Asphalter			
651				219	2129	Assayer			
652				219	2129	Assayist			
653				850	8131	Assembler, accumulator			
654				593	5494	Assembler, action, piano			
655	O			516	8139	Assembler, action			
656				850	8131	Assembler, aerial			
657				516	8139	Assembler, aircraft			
658				859	8139	Assembler, ammeter			
659				850	8131	Assembler, apparatus	(electricity supplier)		
660				850	8131	Assembler, armature			
661				850	8131	Assembler, Bakelite			
662				850	8131	Assembler, battery			
663				850	8131	Assembler, belt			
664				516	8139	Assembler, bench	(engineering)		
665				859	8139	Assembler, bi-focal			
666				859	8139	Assembler, binocular			
667				859	8139	Assembler, block, carbon			
668				850	8131	Assembler, board, circuit, printed			
669				851	8132	Assembler, body		(vehicle)	
670				859	8139	Assembler, box			
671				851	8132	Assembler, brake			
672				851	8132	Assembler, brass			
673				859	8139	Assembler, brush, carbon			
674	O			859	8139	Assembler, brush			
675				859	8139	Assembler, cabinet			
676				850	8131	Assembler, cable			
677				859	8139	Assembler, camera			
678		*		851	8132	Assembler, car			
679				859	8139	Assembler, card	(printing)		
680				859	8139	Assembler, carton			
681				859	8139	Assembler, case	(electrical, electronic equipment mfr)		
682				820	8114	Assembler, cell	(chemical mfr)		
683				850	8131	Assembler, change, record			
684				859	8139	Assembler, clock			
685				859	8139	Assembler, clothing			
686				850	8131	Assembler, coil			
687				850	8131	Assembler, commutator			
688				850	8131	Assembler, component		(electrical, electronic)	
689				851	8132	Assembler, component		(mechanical)	
690				850	8131	Assembler, components		(electrical, electronic)	
691				851	8132	Assembler, components		(mechanical)	
692				850	8131	Assembler, computer			
693				923	8142	Assembler, concrete			
694				516	8139	Assembler, conveyor			
695				850	8131	Assembler, cooker, electric			
696				851	8132	Assembler, cooker, gas			
697				850	8131	Assembler, core	(electrical engineering)		
698				531	5212	Assembler, core	(foundry)		
699				859	8139	Assembler, cosmetics			
700				850	8131	Assembler, crystal, quartz			
701				516	8139	Assembler, cutlery			
702				851	8132	Assembler, cycle			
703				851	8132	Assembler, detonator			
704				859	8139	Assembler, doll			
705				850	8131	Assembler, dynamo			
706				850	8131	Assembler, electronic			
707				850	8131	Assembler, electronics			
708				851	8132	Assembler, engine			
709				850	8131	Assembler, equipment, video			
710				859	8139	Assembler, fencing			
711				850	8131	Assembler, filament			
712				569	5423	Assembler, film			
713				851	8132	Assembler, filter	(machinery mfr)		
714				850	8131	Assembler, fire, electric			
715				859	8139	Assembler, firework			
716				859	8139	Assembler, flask, vacuum			
717				859	8139	Assembler, footwear			
718				851	8132	Assembler, frame, bed			
719				859	8139	Assembler, frame, spectacle			
720				516	8139	Assembler, frame	(engineering)		
721				859	8139	Assembler, furniture			
722				441	9149	Assembler, grocer's			
723				516	8131	Assembler, gun		(hand)	
724	A			851	8132	Assembler, gun			
725				814	8113	Assembler, harness, jacquard			
726				850	8131	Assembler, instrument, electrical			
727				859	8139	Assembler, instrument, optical			
728				850	8131	Assembler, instrument, telephone			
729	O			859	8139	Assembler, instrument			
730				851	8132	Assembler, jewellery			
731				850	8131	Assembler, lamp, electric			
732	O			851	8132	Assembler, lamp			
733				859	8139	Assembler, ligature, surgical			
734				441	9149	Assembler, load			
735				851	8132	Assembler, lock			
736				851	8132	Assembler, machine			
737				850	8131	Assembler, magnet			
738				554	8139	Assembler, mattress			
739				859	8139	Assembler, meter			
740				520	8131	Assembler, motor		(electric)	
741				851	8132	Assembler, motor	(engineering)		
742				560	5421	Assembler, mould		(monotype)	
743				569	5423	Assembler, negative		(films)	
744				859	8139	Assembler, optical			
745				441	9149	Assembler, order			
746				859	8139	Assembler, pad, stamp			
747				850	8131	Assembler, PCB			
748				859	8139	Assembler, pen			
749				593	5494	Assembler, pianoforte			
750				859	8139	Assembler, plastics			
751				859	8139	Assembler, poppy			
752				859	8139	Assembler, pottery			
753				850	8131	Assembler, radar			
754				850	8131	Assembler, radio			
755				850	8131	Assembler, recorder, video			
756				850	8131	Assembler, rectifier			
757				851	8132	Assembler, refrigerator			
